app_id,game_name,genre
652980,Loading Screen Simulator,Casual Free to Play
17580,Dystopia,Action Free to Play
595340,Turn Around,Violent Gore
282900,Hyperdimension Neptunia Re;Birth1,RPG Strategy
96800,Nexuiz,Action
414530,Skyforge,Free to Play Massively Multiplayer
353130,Time of Dragons,Action Free to Play
359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,Action Indie
285160,LEGO The Hobbit,Action Adventure
270450,Robot Roller-Derby Disco Dodgeball,Action Indie
308040,Back to Bed,Action Casual
243970,"Invisible, Inc.",Action Indie
449680,SAMOLIOTIK,Action Casual
409160,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",Free to Play Indie
515220,F1 2017,Racing Simulation
311730,DEAD OR ALIVE 5 Last Round: Core Fighters,Action
257750,Bloody Trapland,Action Adventure
258520,The Vanishing of Ethan Carter,Adventure Indie
290300,Rebel Galaxy,Action Adventure
49470,Magic: The Gathering - Duels of the Planeswalkers 2012,Strategy
469820,Genital Jousting,Action Indie
378370,Nomad,Action Adventure
40400,AI War: Fleet Command,Indie Strategy
512900,Streets of Rogue,Action Adventure
108700,Death Rally,Action Racing
237870,Planet Explorers,Action Adventure
372800,RPG MO,Adventure Free to Play
414290,Princess.Loot.Pixel.Again,Action Adventure
278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,Action
208500,F1 2012,Racing Simulation
562590,Galactic Junk League,Action Casual
333420,Cossacks 3,Strategy
205910,Tiny and Big: Grandpa's Leftovers,Indie
227180,Kingdom Wars,Free to Play Indie
339600,VEGA Conflict,Free to Play Massively Multiplayer
326410,Windward,Action Adventure
266430,Anarchy Arcade,Casual Free to Play
306020,Bloons TD 5,Action Strategy
398710,Timberman,Action Casual
613100,House Flipper,Indie Simulation
297130,Titan Souls,Action Adventure
451880,Catch a Falling Star,Casual Indie
219830,King Arthur's Gold,Action Free to Play
376870,Minecraft: Story Mode - A Telltale Games Series,Adventure
219340,The Banner Saga: Factions,Free to Play Indie
352400,LEGO Jurassic World,Action Adventure
249230,Risen 3 - Titan Lords,RPG
231740,Knights of Pen and Paper +1 Edition,Indie RPG
92100,DETOUR,Indie Strategy
463210,State of Anarchy,Action Casual
305260,Battle Islands,Free to Play Simulation
678800,SAS: Zombie Assault 4,Action Free to Play
251170,Damned,Adventure
267530,The LEGO Movie - Videogame,Action Adventure
98400,Hard Reset Extended Edition,Action Indie
377840,FINAL FANTASY IX,RPG
276810,Mordheim: City of the Damned,RPG Strategy
244590,Epigenesis,Action Indie
323320,Grow Home,Adventure Casual
313690,LEGO Batman 3: Beyond Gotham,Action Adventure
331790,Data Hacker: Reboot,Adventure Indie
288160,The Room,Adventure Indie
461560,MANDAGON,Adventure Free to Play
218510,Planets Under Attack,Indie Strategy
531640,Eternal Card Game,Casual Free to Play
338170,Ratz Instagib,Action Indie
589390,Trashville,Action Indie
227480,God Mode,Action
363680,Battlefleet Gothic: Armada,Strategy
291010,The Hat Man: Shadow Ward,Action Adventure
488790,South Park: The Fractured But Whole,RPG
434170,The Jackbox Party Pack 3,Casual Indie
675010,MudRunner,Simulation
420110,NEKOPARA Vol. 2,Sexual Content Nudity
287920,Mortal Online,Action Free to Play
471710,Rec Room,Action Adventure
397340,SimplePlanes,Indie Simulation
314000,Pool Nation FX Lite,Casual Free to Play
383330,Star Chronicles: Delta Quadrant,Indie Strategy
486820,Yellow: The Yellow Artifact,
393530,Insanity Clicker,Adventure Casual
61700,Might & Magic: Clash of Heroes,RPG Strategy
463220,Dungeon of Zolthan,Action Adventure
218820,Mercenary Kings: Reloaded Edition,Action Adventure
654880,Dream Daddy: A Dad Dating Simulator,Casual Indie
203750,Binary Domain,Action
368370,Her Story,Adventure Indie
255420,Magic 2015 - Duels of the Planeswalkers,Strategy
286000,Tooth and Tail,Action Casual
40960,Stronghold 2: Steam Edition,Simulation Strategy
246420,Kingdom Rush,Action Indie
564310,Serious Sam Fusion 2017 (beta),Action Indie
266010,LYNE,Casual Indie
99300,Renegade Ops,Action
291860,Pit People,Action Indie
78000,Bejeweled 3,Casual Strategy
449540,There's Poop In My Soup,Casual Indie
448640,Elements II: Hearts of Light,Indie RPG
71250,Sonic Adventure DX,
396750,EVERSPACE,Action Indie
637090,BATTLETECH,Action Adventure
495890,Montaro,Casual Indie
280160,Aragami,Action Adventure
457820,Outrage,Adventure Indie
327030,Worms W.M.D,Action Strategy
383980,Rivals of Aether,Indie
271570,Space Farmers,Action Indie
429660,Tales of Berseria,Action RPG
467010,Fall of Civilization,Adventure Simulation
434730,Half Dead,Action Adventure
391660,Incitement 3,Adventure Indie
